Bedroom,Bathroom,Property Size,Latitude,Longitude,Parking Lot,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,price
3,2,650,5.290792,100.2485572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000
2,2,800,5.2817072,100.4765976,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,399000
3,3,1082,2.9948437,101.7896595,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,329000
3,2,1050,5.3873462,100.3145585,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,550000
3,2,750,5.4082015,100.3697208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000
2,1,500,5.290792,100.2485572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
4,3,1539,3.0342324,101.6170345,2,1,1,1,1,0,1,1,1,1,0,1,0,1,1,538000
3,2,800,5.2948137,100.2595968,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,320000
3,2,800,5.2948137,100.2595968,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,303000
3,2,800,5.4686686,100.2783191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000
2,2,550,1.4861927,103.68005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
3,2,904,5.4082015,100.3697208,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,270000
3,2,1000,5.7330227,115.9320971,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,300000
1,1,622,3.1656724,101.735074,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,570000
3,2,800,5.3873462,100.3145585,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,420000
1,1,640,1.4581986,103.7649059,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,348000
3,2,922,3.0340649,101.7055684,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,365000
3,2,1045,1.4522711,103.6144729,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,420000
5,4,2293,3.0342324,101.6170345,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,547000
4,2,1722,1.4581986,103.7649059,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,488000
3,2,760,2.941765,101.8205497,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,170000
3,2,1000,5.3683584,100.3099939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530000
3,2,1288,2.9948437,101.7896595,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,320000
3,2,950,1.5354668,103.7572379,2,0,0,1,1,1,0,0,1,1,1,1,0,1,0,443000
3,2,852,3.0342324,101.6170345,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,250000
2,3,1378,1.5597561,110.345397,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1500000
3,2,1000,1.5597561,110.345397,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,700000
2,2,947,5.4082015,100.3697208,2,1,0,1,1,1,0,1,1,1,1,1,0,1,0,480000
3,2,1257,3.1827768,101.7452477,2,1,1,1,0,1,1,1,1,1,0,1,0,1,0,688000
3,2,1038,3.2377898,101.6813599,2,1,0,1,1,0,1,0,0,1,1,1,0,1,0,300000
3,2,1000,5.4318216,100.3117683,2,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1500000
4,3,1600,5.4708863,100.2485887,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,780000
3,2,1352,5.4647757,100.284463,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,950000
3,2,1171,3.1656724,101.735074,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,532000
3,2,1155,5.2948137,100.2595968,3,1,0,1,0,1,1,1,1,1,0,1,0,1,0,395000
4,3,1422,3.0988792,101.6454202,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,578000
3,2,1012,3.2377898,101.6813599,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,320000
3,2,1432,1.5597561,110.345397,2,0,0,1,0,1,0,1,1,1,0,1,0,1,0,750000
3,2,933,1.5597561,110.345397,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,600000
2,2,815,1.5597561,110.345397,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,575000
3,2,933,1.5597561,110.345397,2,0,1,1,0,1,0,0,1,1,0,1,0,1,0,495000
3,2,1004,1.5597561,110.345397,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,715000
2,1,590,1.5597561,110.345397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
3,2,852,3.0342324,101.6170345,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,299900
3,2,800,3.0342324,101.6170345,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,270000
3,2,1000,5.4686686,100.2783191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000
3,2,743,1.933333,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
4,3,1464,5.4686686,100.2783191,2,1,0,1,1,0,0,0,1,1,0,1,0,1,0,930000
3,2,1000,5.4318216,100.3117683,2,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1500000
4,3,1600,5.4708863,100.2485887,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,780000
3,2,1352,5.4647757,100.284463,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,950000
3,2,1171,3.1618009,101.7353609,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,532000
3,2,1155,5.2948137,100.2595968,3,1,0,1,0,1,1,1,1,1,0,1,0,1,0,395000
4,3,1422,3.0988792,101.6454202,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,578000
3,2,1012,3.237821,101.6811588,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,320000
3,2,1432,1.5597561,110.345397,2,0,0,1,0,1,0,1,1,1,0,1,0,1,0,750000
3,2,933,1.5597561,110.345397,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,600000
2,2,815,1.5597561,110.345397,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,575000
3,2,933,1.5597561,110.345397,2,0,1,1,0,1,0,0,1,1,0,1,0,1,0,495000
3,2,1004,1.5597561,110.345397,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,715000
2,1,590,1.5597561,110.345397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
3,2,852,3.0342324,101.6170345,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,299900
3,2,800,3.0342324,101.6170345,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,270000
3,2,1000,5.4686686,100.2783191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000
3,2,743,1.933333,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
4,3,1464,5.4686686,100.2783191,2,1,0,1,1,0,0,0,1,1,0,1,0,1,0,930000
3,3,1400,5.3683584,100.3099939,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030000
3,2,1936,3.237821,101.6811588,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,470000
3,4,2101,5.4509926,100.3056236,2,1,1,1,1,1,0,1,1,1,0,1,0,1,1,2680000
3,2,753,3.0340649,101.7055684,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,220000
2,1,712,6.1762851,116.2328137,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,225000
3,2,925,3.0342324,101.6170345,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,368000
3,3,1200,3.1013058,101.6767878,2,0,0,1,0,0,0,0,1,1,0,1,0,1,0,550000
3,2,850,3.15025555,101.7602101,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,320000
3,2,1055,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,268000
3,2,900,3.083333,101.416667,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,330000
3,2,750,3.0342324,101.6170345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,275000
3,2,1023,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300000
3,2,850,3.083333,101.416667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,266000
3,2,883,3.15025555,101.7602101,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,230000
3,1,732,3.15025555,101.7602101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,168000
3,2,800,3.0465995,101.5892022,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,300000
3,2,1173,3.0739429,101.5185278,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,355000
3,1,650,3.1975774,101.7139655,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,185000
4,2,1650,5.4063559,100.2827321,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,550000
2,1,657,3.0048977,101.5359803,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,430000
3,2,850,5.2948137,100.2595968,2,0,0,0,1,0,1,0,1,1,1,1,0,0,0,390000
3,2,652,2.9948437,101.7896595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
3,2,946,3.061546,101.6870867,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,386000
1,1,600,3.15025555,101.7602101,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,245000
3,2,1100,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,394000
3,2,1334,5.36340385,100.45797,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,380000
4,3,2809,2.9179726,101.6840801,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,930000
3,2,700,5.3383289,100.3023774,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,295000
3,2,1100,3.18934865,101.6811497,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,488000
3,2,1100,5.3873462,100.3145585,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530000
1,1,400,3.1264965,101.6175463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200500
3,2,680,5.3873462,100.3145585,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,335000
3,2,850,5.2948137,100.2595968,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,350000
3,2,750,5.3873462,100.3145585,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,370000
3,1,600,5.4708863,100.2485887,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,135000
4,2,1349,5.3683584,100.3099939,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,645000
1,1,400,3.1432113,101.6113803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200200
4,3,1282,3.0342324,101.6170345,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,485000
2,2,430,3.1656724,101.735074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
1,1,400,3.116139,101.6221639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200000
3,2,953,3.0739429,101.5185278,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,505000
2,1,657,3.0048977,101.5359803,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,468000
2,2,1001,3.2537121,101.6539012,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,280000
3,2,957,2.9948437,101.7896595,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,250000
3,2,910,3.1505141,101.7600712,3,0,0,1,1,1,1,1,1,1,0,1,0,1,0,360000
3,2,1100,2.9948437,101.7896595,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,390000
3,2,775,3.2058319,101.7319177,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,324000
